Ticker;Nome;Tipo;Categoria
ABEV3;Ambev;Ação;Bebidas
ALPA4;Alpargatas;Ação;Calçados e Vestuário
ALUP11;Alupar;Ação;Energia Elétrica
AMER3;Americanas;Ação;Varejo
ASAI3;Assaí Atacadista;Ação;Varejo Alimentar
AUAU3;União Pet Participações (Petz Cobasi);Ação;Varejo Pet
AURE3;Auren Energia;Ação;Energia Elétrica
AXIA3;Axia Energia (Ações Ordinárias);Ação;Energia Elétrica
AXIA7;Axia Energia (Ações Preferenciais Classe C);Ação;Energia Elétrica
AZZA3;Azzas 2154 (Fusão de Arezzo e Grupo Soma);Ação;Moda e Vestuário
B3SA3;B3;Ação;Serviços Financeiros
BBAS3;Banco do Brasil;Ação;Bancos
BBDC3;Bradesco (Ações Ordinárias);Ação;Bancos
BBDC4;Bradesco (Ações Preferenciais);Ação;Bancos
BBSE3;BB Seguridade;Ação;Seguros
BEEF3;Minerva;Ação;Alimentos
BPAC11;BTG Pactual;Ação;Bancos
BRAP4;Bradespar;Ação;Holding
BRAV3;Brava Energia (Antiga 3R Petroleum / Enauta);Ação;Petróleo e Gás
BRKM5;Braskem;Ação;Petroquímica
CEAB3;C&A Modas;Ação;Moda e Vestuário
CMIG3;Cemig (Ações Ordinárias);Ação;Energia Elétrica
CMIG4;Cemig (Ações Preferenciais);Ação;Energia Elétrica
COGN3;Cogna;Ação;Educação
CPFE3;CPFL Energia;Ação;Energia Elétrica
CSAN3;Cosan;Ação;Holding e Energia
CSNA3;Siderúrgica Nacional (CSN);Ação;Siderurgia
CURY3;Cury Construtora;Ação;Construção Civil
CVCB3;CVC Brasil;Ação;Turismo
CYRE3;Cyrela (Ações Ordinárias);Ação;Construção Civil
CYRE4;Cyrela (Ações Preferenciais);Ação;Construção Civil
DIRR3;Direcional;Ação;Construção Civil
ECOR3;EcoRodovias;Ação;Infraestrutura e Concessões
EGIE3;Engie Brasil;Ação;Energia Elétrica
EMBR3;Embraer;Ação;Aeroespacial e Defesa
ENEV3;Eneva;Ação;Energia Elétrica
ENGI11;Energisa;Ação;Energia Elétrica
EQTL3;Equatorial;Ação;Energia Elétrica
EZTC3;Eztec;Ação;Construção Civil
FLRY3;Fleury;Ação;Saúde
GGBR4;Gerdau;Ação;Siderurgia
GOAU4;Metalúrgica Gerdau;Ação;Siderurgia
HAPV3;Hapvida;Ação;Saúde
HYPE3;Hypera;Ação;Farmacêutico
IRBR3;IRB Brasil Re;Ação;Seguros
ITSA4;Itaúsa;Ação;Holding Financeira
ITUB3;Itaú Unibanco (Ações Ordinárias);Ação;Bancos
ITUB4;Itaú Unibanco (Ações Preferenciais);Ação;Bancos
KLBN11;Klabin;Ação;Papel e Celulose
LREN3;Lojas Renner;Ação;Moda e Varejo
MDIA3;M. Dias Branco;Ação;Alimentos
MGLU3;Magazine Luiza;Ação;Varejo
MOTV3;Motiva Infraestrutura de Mobilidade;Ação;Infraestrutura e Concessões
MOVI3;Movida;Ação;Locação de Veículos
MRVE3;MRV Engenharia;Ação;Construção Civil
MULT3;Multiplan;Ação;Shopping Centers
NATU3;Natura Cosméticos;Ação;Cosméticos
PETR3;Petrobras (Ações Ordinárias);Ação;Petróleo e Gás
PETR4;Petrobras (Ações Preferenciais);Ação;Petróleo e Gás
POMO4;Marcopolo;Ação;Material de Transporte
PRIO3;PetroRio;Ação;Petróleo e Gás
PSSA3;Porto Seguro;Ação;Seguros
RADL3;Raia Drogasil;Ação;Farmácias e Varejo
RAIL3;Rumo;Ação;Logística Ferroviária
RAIZ4;Raízen;Ação;Açúcar, Etanol e Energia
RENT3;Localiza (Ações Ordinárias);Ação;Locação de Veículos
RENT4;Localiza (Ações Preferenciais);Ação;Locação de Veículos
SANB11;Santander Brasil;Ação;Bancos
SBSP3;Sabesp;Ação;Saneamento
SLCE3;SLC Agrícola;Ação;Agronegócio
SUZB3;Suzano;Ação;Papel e Celulose
TAEE11;Taesa;Ação;Energia Elétrica
TOTS3;Totvs;Ação;Tecnologia
UGPA3;Ultrapar;Ação;Distribuição de Combustíveis
USIM5;Usiminas;Ação;Siderurgia
VALE3;Vale;Ação;Mineração
VIVA3;Vivara;Ação;Joalheria
VIVT3;Telefônica Brasil (Vivo);Ação;Telecomunicações
WEGE3;Weg;Ação;Bens de Capital
YDUQ3;Yduqs;Ação;Educação
AAPL34;Apple Inc.;BDR;Tecnologia
ABBV34;AbbVie Inc.;BDR;Saúde
ABNB34;Airbnb Inc.;BDR;Consumo Cíclico / Turismo
ADBE34;Adobe Inc.;BDR;Tecnologia
AMD34;Advanced Micro Devices Inc.;BDR;Tecnologia
AMZO34;Amazon.com Inc.;BDR;Consumo Cíclico / Serviços
AVGO34;Broadcom Inc.;BDR;Tecnologia
AXPB34;American Express Company;BDR;Financeiro
B1HP34;BHP Group Ltd.;BDR;Mineração
B1ZE34;Braze;BDR;Tecnologia
BABA34;Alibaba Group Holding Ltd.;BDR;Consumo Cíclico / E-commerce
BAHI34;Boeing Company;BDR;Industrial / Aeroespacial
BERK34;Berkshire Hathaway Inc.;BDR;Financeiro
BIDU34;Baidu Inc.;BDR;Comunicação / Tecnologia
BKNG34;Booking Holdings Inc.;BDR;Consumo Cíclico / Turismo
BOAC34;Bank of America Corporation;BDR;Financeiro
CATP34;Caterpillar Inc.;BDR;Industrial
CHVX34;Chevron Corporation;BDR;Energia
CITI34;Citigroup Inc.;BDR;Financeiro
COCA34;The Coca-Cola Company;BDR;Consumo Não Cíclico
COPH34;ConocoPhillips;BDR;Energia
COST34;Costco Wholesale Corporation;BDR;Consumo Não Cíclico
CRM34;Salesforce Inc.;BDR;Tecnologia
CSCO34;Cisco Systems Inc.;BDR;Tecnologia
DEEC34;Deere & Company;BDR;Industrial
DISB34;The Walt Disney Company;BDR;Comunicação / Entretenimento
EXXO34;Exxon Mobil Corporation;BDR;Energia
GEOO34;GE Aerospace;BDR;Industrial
GOGL34;Alphabet Inc. Class A;BDR;Tecnologia
GOGL35;Alphabet Inc. Class C;BDR;Tecnologia
GSHP34;Goldman Sachs Group Inc.;BDR;Financeiro
HOME34;The Home Depot Inc.;BDR;Consumo Cíclico
HONB34;Honeywell International Inc.;BDR;Industrial
IBM34;IBM Corporation;BDR;Tecnologia
INTC34;Intel Corporation;BDR;Tecnologia
JBSS32;JBS N.V.;BDR;Alimentos
JDCO34;JD.com Inc.;BDR;Consumo Cíclico / E-commerce
JNJB34;Johnson & Johnson;BDR;Saúde
JPMC34;JPMorgan Chase & Co.;BDR;Financeiro
K1YS34;Krystal Biotech;BDR;Saúde
L1MN34;Lululemon Athletica Inc.;BDR;Consumo Cíclico
LLYC34;Eli Lilly and Company;BDR;Saúde
LMTB34;Lockheed Martin Corporation;BDR;Industrial / Defesa
LOWC34;Lowe's Companies Inc.;BDR;Consumo Cíclico
M1TA34;Meta Platforms Inc.;BDR;Comunicação / Tecnologia
MAST34;Mastercard Inc.;BDR;Financeiro / Pagamentos
MCDC34;McDonald's Corporation;BDR;Consumo Cíclico
MELI34;MercadoLibre Inc.;BDR;Consumo Cíclico / E-commerce
MMM34;3M Company;BDR;Industrial
MRCK34;Merck & Co. Inc.;BDR;Saúde
MSBR34;Morgan Stanley;BDR;Financeiro
MSFT34;Microsoft Corporation;BDR;Tecnologia
NFLX34;Netflix Inc.;BDR;Comunicação / Entretenimento
NKEC34;Nike Inc.;BDR;Consumo Cíclico
NUCG34;Nu Holdings Ltd.;BDR;Financeiro
NVDC34;Nvidia Corporation;BDR;Tecnologia
ORCL34;Oracle Corporation;BDR;Tecnologia
PAGS34;PagSeguro Digital Ltd.;BDR;Financeiro / Pagamentos
PEPB34;PepsiCo Inc.;BDR;Consumo Não Cíclico
PFIZ34;Pfizer Inc.;BDR;Saúde
PGCO34;Procter & Gamble Co.;BDR;Consumo Não Cíclico
PLTR34;Palantir Technologies Inc.;BDR;Tecnologia
PYPL34;PayPal Holdings Inc.;BDR;Financeiro / Pagamentos
QCOM34;Qualcomm Inc.;BDR;Tecnologia
RIOB34;Rio Tinto Plc;BDR;Mineração
ROST34;Ross Stores Inc.;BDR;Consumo Cíclico
SAPR34;SAP SE;BDR;Tecnologia
SBUX34;Starbucks Corporation;BDR;Consumo Cíclico
SHOP34;Shopify Inc.;BDR;Tecnologia / E-commerce
SNOW34;Snowflake Inc.;BDR;Tecnologia
STOC34;StoneCo Ltd.;BDR;Financeiro / Pagamentos
TENC34;Tencent Holdings Ltd.;BDR;Comunicação / Tecnologia
TEXA34;Texas Instruments Inc.;BDR;Tecnologia
TGTB34;Target Corporation;BDR;Consumo Cíclico
TSLA34;Tesla Inc.;BDR;Consumo Cíclico
TSMC34;Taiwan Semiconductor Manufacturing Co.;BDR;Tecnologia
UBER34;Uber Technologies Inc.;BDR;Tecnologia / Mobilidade
UNHH34;UnitedHealth Group Inc.;BDR;Saúde
VALE34;Vale S.A. ADR;BDR;Mineração
VISA34;Visa Inc.;BDR;Financeiro / Pagamentos
WALM34;Walmart Inc.;BDR;Consumo Não Cíclico
WFCO34;Wells Fargo & Company;BDR;Financeiro
XPBR31;XP Inc.;BDR;Financeiro
ABCP11;Grand Plaza Shopping;FII;Shopping Center
AFHI11;AF Invest CRI;FII;Papéis / CRI
AGCX11;Agências Caixa;FII;Agências Bancárias
AIEC11;Autonomy Edifícios Corporativos;FII;Lajes Corporativas
AJFI11;AJ Malls;FII;Shopping Center
ALMI11;Torre Almirante;FII;Lajes Corporativas
ALZM11;Alianza Multiestratégia;FII;Fundo de Fundos / Multiestratégia
ALZR11;Alianza Trust Renda Imobiliária;FII;Híbrido / Misto
ANCR11B;Ancar CI;FII;Shopping Center
APTO11;Navi Residencial;FII;Residencial
APXR11;APX Real Estate;FII;Residencial
APXU11;APX Urban;FII;Residencial
BARI11;Barigui Rendimentos Imobiliários;FII;Papéis / CRI
BBFI11B;BB Progressivo;FII;Lajes Corporativas
BBFO11;BB Fundo de Fundos;FII;Fundo de Fundos
BBPO11;BB Progressivo II;FII;Agências Bancárias
BBRC11;BB Renda Corporativa;FII;Agências Bancárias
